Chang,Decay,status,batch_file,S,N
1e-05,0.001,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.00001_probBeh_0.005_Decay_0.001_shaFr_0.5_FamRes_2.json,251,55
1e-05,0.5,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.00001_probBeh_0.005_Decay_0.500_shaFr_0.5_FamRes_2.json,251,55
1e-05,0.85,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.00001_probBeh_0.005_Decay_0.850_shaFr_0.5_FamRes_2.json,251,55
1e-05,0.875,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.00001_probBeh_0.005_Decay_0.875_shaFr_0.5_FamRes_2.json,251,55
1e-05,0.95,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.00001_probBeh_0.005_Decay_0.950_shaFr_0.5_FamRes_2.json,251,55
0.01,0.001,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.01000_probBeh_0.005_Decay_0.001_shaFr_0.5_FamRes_2.json,251,55
0.01,0.5,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.01000_probBeh_0.005_Decay_0.500_shaFr_0.5_FamRes_2.json,251,55
0.01,0.85,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.01000_probBeh_0.005_Decay_0.850_shaFr_0.5_FamRes_2.json,251,55
0.01,0.875,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.01000_probBeh_0.005_Decay_0.875_shaFr_0.5_FamRes_2.json,251,55
0.01,0.95,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.01000_probBeh_0.005_Decay_0.950_shaFr_0.5_FamRes_2.json,251,55
0.1,0.001,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.10000_probBeh_0.005_Decay_0.001_shaFr_0.5_FamRes_2.json,251,55
0.1,0.5,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.10000_probBeh_0.005_Decay_0.500_shaFr_0.5_FamRes_2.json,251,55
0.1,0.85,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.10000_probBeh_0.005_Decay_0.850_shaFr_0.5_FamRes_2.json,251,55
0.1,0.875,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.10000_probBeh_0.005_Decay_0.875_shaFr_0.5_FamRes_2.json,251,55
0.1,0.95,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.10000_probBeh_0.005_Decay_0.950_shaFr_0.5_FamRes_2.json,251,55
0.2,0.001,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.20000_probBeh_0.005_Decay_0.001_shaFr_0.5_FamRes_2.json,251,55
0.2,0.5,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.20000_probBeh_0.005_Decay_0.500_shaFr_0.5_FamRes_2.json,251,55
0.2,0.85,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.20000_probBeh_0.005_Decay_0.850_shaFr_0.5_FamRes_2.json,251,55
0.2,0.875,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.20000_probBeh_0.005_Decay_0.875_shaFr_0.5_FamRes_2.json,251,55
0.2,0.95,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.20000_probBeh_0.005_Decay_0.950_shaFr_0.5_FamRes_2.json,251,55
0.3,0.001,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.30000_probBeh_0.005_Decay_0.001_shaFr_0.5_FamRes_2.json,251,55
0.3,0.5,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.30000_probBeh_0.005_Decay_0.500_shaFr_0.5_FamRes_2.json,251,55
0.3,0.85,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.30000_probBeh_0.005_Decay_0.850_shaFr_0.5_FamRes_2.json,251,55
0.3,0.875,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.30000_probBeh_0.005_Decay_0.875_shaFr_0.5_FamRes_2.json,251,55
0.3,0.95,skipped_existing,data/30maxAbu_00maxSca_reNe05_Chang_0.30000_probBeh_0.005_Decay_0.950_shaFr_0.5_FamRes_2.json,251,55
